county_name,year,unhoused_total,emergency_shelter,transitional_housing,unsheltered,unhoused_source,Notes
"Denver County, Colorado",2000,,,,,,
"Denver County, Colorado",2001,,,,,,
"Denver County, Colorado",2002,,,,,,
"Denver County, Colorado",2003,,,,,,
"Denver County, Colorado",2004,,,,,,
"Denver County, Colorado",2005,10157,2406,2662,5089,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2005_CO_2005.pdf,2005-2014 is Metropolitan Denver Homeless Initiative CoC
"Denver County, Colorado",2006,8661,2814,2576,3271,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2006_CO_2006.pdf,2015-2023 is Metropolitan Denver CoC
"Denver County, Colorado",2007,8698,2701,2484,3513,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2007_CO_2007.pdf,
"Denver County, Colorado",2008,8482,2407,2544,3531,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2008_CO_2008.pdf,
"Denver County, Colorado",2009,8752,3794,3259,1699,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2009_CO_2009.pdf,
"Denver County, Colorado",2010,8752,3794,3259,1699,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2010_CO_2010.pdf,
"Denver County, Colorado",2011,4809,1911,2366,532,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2011_CO_2011.pdf,
"Denver County, Colorado",2012,6358,2441,2953,964,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2012_CO_2012.pdf,
"Denver County, Colorado",2013,6316,2819,2569,928,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2012_CO_2013.pdf,
"Denver County, Colorado",2014,6621,2885,3065,671,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2012_CO_2013.pdf,
"Denver County, Colorado",2015,5335,2349,2241,745,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2015_CO_2015.pdf,
"Denver County, Colorado",2016,5728,2918,2013,797,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2015_CO_2016.pdf,
"Denver County, Colorado",2017,5506,2627,1985,894,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2017_CO_2017.pdf,
"Denver County, Colorado",2018,5317,2574,1435,1308,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2018_CO_2018.pdf,
"Denver County, Colorado",2019,5755,3096,1713,946,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2019_CO_2019.pdf,
"Denver County, Colorado",2020,6104,2911,1632,1561,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2020_CO_2020.pdf,
"Denver County, Colorado",2021,5530,4072,1458,,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2021_CO_2021.pdf,"**In 2021, HUD gave communities the option to cancel or modify the unsheltered survey portion of their counts based on the potential risk of COVID-19 transmission associated with conducting an in -person survey. As a result, HUD has excluded the unsheltered population sub-totals and all unsheltered sub-population data for this reporting period. The user is cautioned that the unsheltered and total homeless counts reported here may be missing data"
"Denver County, Colorado",2022,6884,3474,1342,2078,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CO-503-2022_CO_2022.pdf,
"Los Angeles County, California",2000,,,,,,
"Los Angeles County, California",2001,,,,,,
"Los Angeles County, California",2002,,,,,,
"Los Angeles County, California",2003,,,,,,
"Los Angeles County, California",2004,,,,,,
"Los Angeles County, California",2005,83347,4711,5164,73472,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2005_CA_2005.pdf,
"Los Angeles County, California",2006,82291,4714,5164,72413,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2006_CA_2006.pdf,
"Los Angeles County, California",2007,47862,5525,5917,36420,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2007_CA_2007.pdf,
"Los Angeles County, California",2008,47862,5525,5917,36420,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2008_CA_2008.pdf,
"Los Angeles County, California",2009,33243,5793,8257,19193,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2009_CA_2009.pdf,
"Los Angeles County, California",2010,33243,5793,8257,19193,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2010_CA_2010.pdf,
"Los Angeles County, California",2011,34622,9855,7027,17740,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2011_CA_2011.pdf,
"Los Angeles County, California",2012,31553,7173,6640,17740,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2012_CA_2012.pdf,
"Los Angeles County, California",2013,35524,6468,6466,22590,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2013_CA_2013.pdf,
"Los Angeles County, California",2014,34393,6214,5589,22590,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2014_CA_2014.pdf,
"Los Angeles County, California",2015,41174,6880,5346,28948,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2015_CA_2015.pdf,
"Los Angeles County, California",2016,43854,6010,5063,32781,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2015_CA_2016.pdf,
"Los Angeles County, California",2017,55188,8832,5140,41216,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2017_CA_2017.pdf,
"Los Angeles County, California",2018,49955,8819,3566,37570,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2018_CA_2018.pdf,
"Los Angeles County, California",2019,56257,10834,2952,42471,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2019_CA_2019.pdf,
"Los Angeles County, California",2020,63706,14077,3539,46090,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2020_CA_2020.pdf,
"Los Angeles County, California",2021,17225,14144,3081,,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2021_CA_2021.pdf,
"Los Angeles County, California",2022,65111,16287,2946,45878,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_CA-600-2022_CA_2022.pdf,
"New York County, New York",2000,,,,,,
"New York County, New York",2001,,,,,,
"New York County, New York",2002,,,,,,
"New York County, New York",2003,,,,,,
"New York County, New York",2004,,,,,,
"New York County, New York",2005,48154,35671,8088,4395,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2005_NY_2005.pdf,
"New York County, New York",2006,55507,33550,18114,3843,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2006_NY_2006.pdf,
"New York County, New York",2007,50372,38642,7975,3755,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2007_NY_2007.pdf,
"New York County, New York",2008,50261,39019,7936,3306,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2008_NY_2008.pdf,
"New York County, New York",2009,49343,39727,7288,2328,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2009_NY_2009.pdf,
"New York County, New York",2010,53187,43096,6980,3111,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2010_NY_2010.pdf,
"New York County, New York",2011,51123,41963,6512,2648,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2011_NY_2011.pdf,
"New York County, New York",2012,56672,44879,8531,3262,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2012_NY_2012.pdf,
"New York County, New York",2013,64060,53482,7398,3180,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2012_NY_2013.pdf,
"New York County, New York",2014,67810,59127,5326,3357,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2014_NY_2014.pdf,
"New York County, New York",2015,75323,67378,4762,3183,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2015_NY_2015.pdf,
"New York County, New York",2016,73523,66800,3885,2838,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2015_NY_2016.pdf,
"New York County, New York",2017,76501,69605,2960,3936,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2017_NY_2017.pdf,
"New York County, New York",2018,78676,72187,2778,3711,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2018_NY_2018.pdf,
"New York County, New York",2019,78604,72123,2859,3622,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2019_NY_2019.pdf,
"New York County, New York",2020,77943,70875,3164,3904,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2020_NY_2020.pdf,
"New York County, New York",2021,68358,63213,2762,2383,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2021_NY_2021.pdf,
"New York County, New York",2022,61840,55677,2708,3455,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_NY-600-2022_NY_2022.pdf,
"King County, Washington",2000,,,,,,
"King County, Washington",2001,,,,,,
"King County, Washington",2002,,,,,,
"King County, Washington",2003,,,,,,
"King County, Washington",2004,,,,,,
"King County, Washington",2005,7315,2462,2637,2216,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2005_WA_2005.pdf,
"King County, Washington",2006,7910,2463,3501,1946,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2006_WA_2006.pdf,
"King County, Washington",2007,7902,2368,3312,2222,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2007_WA_2007.pdf,
"King County, Washington",2008,8501,2515,3293,2693,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2008_WA_2008.pdf,
"King County, Washington",2009,8952,2552,3537,2863,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2009_WA_2009.pdf,
"King County, Washington",2010,9022,2485,3737,2800,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2010_WA_2010.pdf,
"King County, Washington",2011,8972,2629,3851,2492,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2011_WA_2011.pdf,
"King County, Washington",2012,8899,2682,3599,2618,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2012_WA_2012.pdf,
"King County, Washington",2013,9106,2874,3496,2736,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2012_WA_2013.pdf,
"King County, Washington",2014,8949,2906,3307,2736,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2014_WA_2014.pdf,
"King County, Washington",2015,10122,3282,3037,3803,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2015_WA_2015.pdf,
"King County, Washington",2016,10730,3200,3025,4505,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2015_WA_2016.pdf,
"King County, Washington",2017,11643,3491,2667,5485,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2017_WA_2017.pdf,
"King County, Washington",2018,12112,3585,2207,6320,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2018_WA_2018.pdf,
"King County, Washington",2019,11199,4065,1906,5228,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2019_WA_2019.pdf,
"King County, Washington",2020,11751,4085,2088,5578,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2020_WA_2020.pdf,
"King County, Washington",2021,5183,3429,1754,,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2021_WA_2021.pdf,
"King County, Washington",2022,13368,4141,1542,7685,https://files.hudexchange.info/reports/published/CoC_PopSub_CoC_WA-500-2022_WA_2022.pdf,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,